Posição,Número,Nome,Team,Status,Lesão,Valor de Mercado,player_id
MEI,10,Giorgian De Arrascaeta,Flamengo,Active,,12.0,https://www.sofascore.com/football/player/giorgian-de-arrascaeta/333587
ATA,19,Kaio Jorge,Cruzeiro,Active,,10.5,https://www.sofascore.com/football/player/kaio-jorge/954888
MEI,10,Neymar,Santos,Active,,10.0,https://www.sofascore.com/football/player/neymar/124712
ATA,10,Matheus Pereira,Cruzeiro,Active,,10.0,https://www.sofascore.com/football/player/matheus-pereira/377238
ATA,9,Vitor Roque,Palmeiras,Active,,9.0,https://www.sofascore.com/football/player/vitor-roque/1150391
ATA,9,Pedro,Flamengo,Active,,9.0,https://www.sofascore.com/football/player/pedro/840219
MEI,10,Alan Patrick,Internacional,Active,,9.0,https://www.sofascore.com/football/player/alan-patrick/124997
ATA,95,Carlos Vinícius,Grêmio,Active,,9.0,https://www.sofascore.com/football/player/carlos-vinicius/891920
MEI,10,Jhon Jhon,Red Bull Bragantino,Active,,9.0,https://www.sofascore.com/football/player/jhon-jhon/1167069
DEF,6,Reinaldo,Mirassol,Active,,9.0,https://www.sofascore.com/football/player/reinaldo/243109
ATA,10,Memphis Depay,Corinthians,Active,,8.5,https://www.sofascore.com/football/player/memphis-depay/138833
ATA,77,Rayan,Vasco da Gama,Active,,8.5,https://www.sofascore.com/football/player/rayan/1464966
DEF,4,Léo Pereira,Flamengo,Active,,8.5,https://www.sofascore.com/football/player/leo-pereira/358548
ATA,9,Yuri Alberto,Corinthians,Active,,8.0,https://www.sofascore.com/football/player/yuri-alberto/905463
ATA,42,José López,Palmeiras,Active,,8.0,https://www.sofascore.com/football/player/jose-lopez/1094179
DEF,3,Léo Ortiz,Flamengo,Active,,8.0,https://www.sofascore.com/football/player/leo-ortiz/869643
MEI,29,Arthur,Grêmio,Active,,8.0,https://www.sofascore.com/football/player/arthur/794927
DEF,15,Fabrício Bruno,Cruzeiro,Active,,8.0,https://www.sofascore.com/football/player/fabricio-bruno/840220
MEI,10,Gustavo Scarpa,Atlético Mineiro,Active,,8.0,https://www.sofascore.com/football/player/gustavo-scarpa/559036
MEI,35,Danilo,Botafogo,Active,,8.0,https://www.sofascore.com/football/player/danilo/1064039
MEI,10,Philippe Coutinho,Vasco da Gama,Active,,7.5,https://www.sofascore.com/football/player/philippe-coutinho/119159
MEI,27,Bruno Henrique,Flamengo,Active,,7.5,https://www.sofascore.com/football/player/bruno-henrique/795291
MEI,8,Rodrigo Garro,Corinthians,Active,,7.5,https://www.sofascore.com/football/player/rodrigo-garro/994454
MEI,21,Jorginho,Flamengo,Active,,7.5,https://www.sofascore.com/football/player/jorginho/132874
ATA,7,Hulk,Atlético Mineiro,Active,,7.5,https://www.sofascore.com/football/player/hulk/34705
MEI,16,Samuel Lino,Flamengo,Active,,7.5,https://www.sofascore.com/football/player/samuel-lino/874705
MEI,7,Luiz Araújo,Flamengo,Active,,7.5,https://www.sofascore.com/football/player/luiz-araujo/840451
DEF,26,Alex Sandro,Flamengo,Active,,7.5,https://www.sofascore.com/football/player/alex-sandro/84854
MEI,7,Breno Bidon,Corinthians,Active,,7.5,https://www.sofascore.com/football/player/breno-bidon/1199261
DEF,15,Gustavo Gómez,Palmeiras,Active,,7.5,https://www.sofascore.com/football/player/gustavo-gomez/220833
DEF,13,Alex Telles,Botafogo,Active,,7.5,https://www.sofascore.com/football/player/alex-telles/312110
ATA,22,Martin Braithwaite,Grêmio,Active,,7.5,https://www.sofascore.com/football/player/martin-braithwaite/66471
MEI,10,Jefferson Savarino,Fluminense,Active,,7.5,https://www.sofascore.com/football/player/jefferson-savarino/874739
DEF,96,Paulo Henrique,Vasco da Gama,Active,,7.5,https://www.sofascore.com/football/player/paulo-henrique/1021721
DEF,22,Joaquín Piquerez,Palmeiras,Active,,7.5,https://www.sofascore.com/football/player/joaquin-piquerez/881110
MEI,10,Everton Ribeiro,Bahia,Active,,7.5,https://www.sofascore.com/football/player/everton-ribeiro/145063
DEF,13,Gustavo Henrique,Corinthians,Active,,7.5,https://www.sofascore.com/football/player/gustavo-henrique/243181
MEI,8,Matheus Martinelli,Fluminense,Active,,7.5,https://www.sofascore.com/football/player/martinelli-matheus/1067671
MEI,6,Jean Lucas,Bahia,Active,,7.5,https://www.sofascore.com/football/player/jean-lucas/927975
DEF,2,Vitinho,Botafogo,Active,,7.5,https://www.sofascore.com/football/player/vitinho/914477
DEF,46,Luciano Juba,Bahia,Active,,7.5,https://www.sofascore.com/football/player/luciano-juba/1017264
MEI,27,Marlon Freitas,Palmeiras,Active,,7.5,https://www.sofascore.com/football/player/marlon-freitas/840202
MEI,8,Marcos Antônio,São Paulo,Active,,7.5,https://www.sofascore.com/football/player/marcos-antonio/905453
DEF,20,Alexander Barboza,Botafogo,Active,,7.5,https://www.sofascore.com/football/player/alexander-barboza/801044
DEF,25,Lucas Villalba,Cruzeiro,Active,,7.5,https://www.sofascore.com/football/player/lucas-villalba/260077
DEF,29,Juninho Capixaba,Red Bull Bragantino,Active,,7.5,https://www.sofascore.com/football/player/juninho-capixaba/870556
DEF,3,Jemmes,Fluminense,Active,,7.5,https://www.sofascore.com/football/player/ribeiro-da-silva-jemmes-bruno/1527129
DEF,19,Lucas Ramon,Mirassol,Active,,7.5,https://www.sofascore.com/football/player/lucas-ramon/797225
DEF,34,João Victor,Mirassol,Active,,7.5,https://www.sofascore.com/football/player/joao-victor/863297
