Posição,Número,Nome,Nacionalidade,Altura,Nascimento,Team,Valor de Mercado,player_id
Forward,33,Erick,BRA,173.0,10/12/1997,Vitoria,1.6,https://www.sofascore.com/football/player/erick/895650
Forward,79,Renato Kayzer,BRA,178.0,17/02/1996,Vitoria,0.915,https://www.sofascore.com/football/player/renato-kayzer/814723
Forward,17,Aitor Cantalapiedra,ESP,178.0,10/02/1996,Vitoria,0.0,https://www.sofascore.com/football/player/aitor-cantalapiedra/823831
Forward,23,Fabrício Santos,BRA,186.0,08/10/2000,Vitoria,1.0,https://www.sofascore.com/football/player/fabricio-santos/975351
Forward,31,Renzo López,URU,190.0,16/04/1994,Vitoria,0.72,https://www.sofascore.com/football/player/renzo-lopez/926513
Forward,50,Paulo Roberto,BRA,177.0,13/11/2005,Vitoria,0.0,https://www.sofascore.com/football/player/paulo-roberto-dos-santos-almeida/2112480
Forward,16,Gustavo Sobral Alves Pereira,-,,01/05/2004,Vitoria,1.2,https://www.sofascore.com/football/player/gustavo-sobral-alves-pereira/2440222
Midfielder,10,Matheuzinho,BRA,165.0,18/10/1997,Vitoria,0.0,https://www.sofascore.com/football/player/matheuzinho/795266
Midfielder,44,Gabriel Baralhas,BRA,178.0,10/10/1998,Vitoria,1.6,https://www.sofascore.com/football/player/gabriel-baralhas/922575
Midfielder,6,Pepê,BRA,183.0,06/01/1998,Vitoria,0.27,https://www.sofascore.com/football/player/pepe/946945
Midfielder,11,Osvaldo,BRA,170.0,11/04/1987,Vitoria,0.205,https://www.sofascore.com/football/player/osvaldo/90468
Midfielder,21,Dudu,BRA,186.0,05/06/1999,Vitoria,0.465,https://www.sofascore.com/football/player/dudu/1124220
Midfielder,22,Lucas Braga,BRA,184.0,10/11/1996,Vitoria,0.97,https://www.sofascore.com/football/player/lucas-braga/934801
Midfielder,8,Ronald,BRA,171.0,18/06/1997,Vitoria,0.335,https://www.sofascore.com/football/player/ronald/931521
Midfielder,19,Kike Saverio,ECU,178.0,19/06/1999,Vitoria,0.47,https://www.sofascore.com/football/player/kike-saverio/1032938
Midfielder,8,Filipe Machado,BRA,174.0,20/01/1996,Vitoria,0.335,https://www.sofascore.com/football/player/filipe-machado/844601
Midfielder,95,Caique Gonçalves,BRA,178.0,10/10/1995,Vitoria,0.485,https://www.sofascore.com/football/player/caique-goncalves/871032
Midfielder,20,Rúben Rodrigues,POR,181.0,01/08/1996,Vitoria,0.0,https://www.sofascore.com/football/player/ruben-rodrigues/946563
Midfielder,11,Felipe Cardoso,BRA,178.0,04/03/2003,Vitoria,0.205,https://www.sofascore.com/football/player/felipe-cardoso/1652635
Midfielder,8,Dudu Miraíma,BRA,173.0,15/06/2000,Vitoria,0.335,https://www.sofascore.com/football/player/eduardo/1017251
Midfielder,16,Rúben Ramos Ismael,POR,184.0,25/03/1999,Vitoria,1.2,https://www.sofascore.com/football/player/ruben-ramos-ismael/1469058
Midfielder,10,Pablo Santos,BRA,175.0,03/08/2003,Vitoria,0.0,https://www.sofascore.com/football/player/pablo/1841330
Midfielder,50,Wanderson Papaterra Matos,BRA,172.0,27/07/2005,Vitoria,0.0,https://www.sofascore.com/football/player/wanderson-papaterra-matos/2025531
Midfielder,17,Ítalo Machado,BRA,,26/02/2008,Vitoria,0.0,https://www.sofascore.com/football/player/italo-machado/1857960
Midfielder,24,Bernardo,BRA,180.0,10/06/2005,Vitoria,0.0,https://www.sofascore.com/football/player/bernardo/2442387
Defender,13,Ramon,BRA,176.0,13/03/2001,Vitoria,0.0,https://www.sofascore.com/football/player/ramon/980761
Defender,2,Claudinho,BRA,180.0,24/09/2000,Vitoria,1.8,https://www.sofascore.com/football/player/claudinho/992791
